bssid,gps_text
66:20:e3:96:b0:66,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
82:83:c2:38:30:ab,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
76:34:2b:ec:2b:e0,Lat: 13.681444464036652, Lng: 100.61056887810564, Accuracy: 4.9m
7e:83:c2:38:34:7f,Lat: 13.681700485597538, Lng: 100.61034023153114, Accuracy: 6.235547m
0c:6a:bc:fd:ed:89,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
64:20:e3:a3:d3:0f,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
8c:90:2d:15:cd:f1,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
48:81:d4:0d:ad:67,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
42:58:10:25:9a:99,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
4a:d9:e7:f7:29:d0,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
82:83:c2:38:34:7f,Lat: 13.681700485597538, Lng: 100.61034023153114, Accuracy: 6.235547m
5a:d3:12:40:71:85,Lat: 13.681455715200117, Lng: 100.61053743444579, Accuracy: 9.071986m
f8:af:db:e4:f0:01,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
66:20:e1:18:cd:5e,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
08:40:f3:fd:c2:a5,Lat: 13.681455715200117, Lng: 100.61053743444579, Accuracy: 9.071986m
22:08:89:fb:28:13,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
20:08:89:8b:28:13,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
3a:72:c2:d4:f6:47,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
c4:eb:ff:a2:84:25,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
44:12:44:05:fc:71,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
e6:66:ab:46:0c:56,Lat: 13.681444464036652, Lng: 100.61056887810564, Accuracy: 4.9m
9c:52:f8:7f:bc:5c,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
66:20:e3:96:29:08,Lat: 13.681444464036652, Lng: 100.61056887810564, Accuracy: 4.9m
44:12:44:05:fc:70,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
5a:4f:3b:e5:32:e7,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
66:20:e3:17:7e:e6,Lat: 13.681444464036652, Lng: 100.61056887810564, Accuracy: 4.9m
64:20:e3:37:7e:e6,Lat: 13.681444464036652, Lng: 100.61056887810564, Accuracy: 4.9m
64:20:e3:c6:1f:0d,Lat: 13.681444464036652, Lng: 100.61056887810564, Accuracy: 4.9m
d4:4f:67:12:0b:53,Lat: 13.681444464036652, Lng: 100.61056887810564, Accuracy: 4.9m
56:4f:3b:e5:29:6a,Lat: 13.681353869053783, Lng: 100.61025550930052, Accuracy: 4.7m
7e:4d:8f:8c:67:0e,Lat: 13.681444464036652, Lng: 100.61056887810564, Accuracy: 4.9m
66:20:e3:17:f6:26,Lat: 13.681444464036652, Lng: 100.61056887810564, Accuracy: 4.9m
5c:a6:e6:34:78:d6,Lat: 13.681455715200117, Lng: 100.61053743444579, Accuracy: 9.071986m
66:20:e3:16:81:8e,Lat: 13.681455715200117, Lng: 100.61053743444579, Accuracy: 9.071986m
64:20:e0:91:11:d5,Lat: 13.681444464036652, Lng: 100.61056887810564, Accuracy: 4.9m
f4:de:af:57:28:e8,Lat: 13.681455715200117, Lng: 100.61053743444579, Accuracy: 9.071986m
38:eb:47:c2:cc:20,Lat: 13.681455715200117, Lng: 100.61053743444579, Accuracy: 9.071986m
64:20:e0:72:e9:19,Lat: 13.681444464036652, Lng: 100.61056887810564, Accuracy: 4.9m
66:20:e1:13:c5:ee,Lat: 13.681444464036652, Lng: 100.61056887810564, Accuracy: 4.9m
20:08:89:4c:61:42,Lat: 13.681455715200117, Lng: 100.61053743444579, Accuracy: 9.071986m
48:81:d4:0d:a9:6b,Lat: 13.681444464036652, Lng: 100.61056887810564, Accuracy: 4.9m
38:91:48:e4:36:73,Lat: 13.681444464036652, Lng: 100.61056887810564, Accuracy: 4.9m
e4:66:ab:f6:0c:56,Lat: 13.681444464036652, Lng: 100.61056887810564, Accuracy: 4.9m
4a:81:d4:8d:a0:43,Lat: 13.681444464036652, Lng: 100.61056887810564, Accuracy: 4.9m
3a:91:48:44:36:73,Lat: 13.681444464036652, Lng: 100.61056887810564, Accuracy: 4.9m
22:08:89:fc:61:43,Lat: 13.681444464036652, Lng: 100.61056887810564, Accuracy: 4.9m
da:9a:0d:4b:97:1d,Lat: 13.681444464036652, Lng: 100.61056887810564, Accuracy: 4.9m
d8:9a:0d:bb:97:1d,Lat: 13.681444464036652, Lng: 100.61056887810564, Accuracy: 4.9m
4a:81:d4:5d:a9:6b,Lat: 13.681444464036652, Lng: 100.61056887810564, Accuracy: 4.9m
66:20:e3:9e:e9:9e,Lat: 13.681444464036652, Lng: 100.61056887810564, Accuracy: 4.9m
64:20:e3:9e:e9:9e,Lat: 13.681444464036652, Lng: 100.61056887810564, Accuracy: 4.9m
68:9e:29:5d:b3:a1,Lat: 13.681444464036652, Lng: 100.61056887810564, Accuracy: 4.9m
64:20:e3:d6:29:09,Lat: 13.681444464036652, Lng: 100.61056887810564, Accuracy: 4.9m
66:20:e3:fe:e9:9e,Lat: 13.681444464036652, Lng: 100.61056887810564, Accuracy: 4.9m
6a:9e:29:4d:b3:a1,Lat: 13.681444464036652, Lng: 100.61056887810564, Accuracy: 4.9m
48:81:d4:0d:ad:43,Lat: 13.681444464036652, Lng: 100.61056887810564, Accuracy: 4.9m
3e:f9:f0:46:96:e8,Lat: 13.681353869053783, Lng: 100.61025550930052, Accuracy: 4.7m
3c:f9:f0:66:96:e8,Lat: 13.681353869053783, Lng: 100.61025550930052, Accuracy: 4.7m
64:20:e1:5d:0c:ef,Lat: 13.681444464036652, Lng: 100.61056887810564, Accuracy: 4.9m
32:86:eb:f6:f0:c1,Lat: 13.681444464036652, Lng: 100.61056887810564, Accuracy: 4.9m
64:20:e3:ec:dd:f1,Lat: 13.681444464036652, Lng: 100.61056887810564, Accuracy: 4.9m
66:20:e1:10:33:7e,Lat: 13.681450946005262, Lng: 100.61054375641415, Accuracy: 6.7972965m
64:20:e3:9c:0f:36,Lat: 13.681450946005262, Lng: 100.61054375641415, Accuracy: 6.7972965m
64:20:e1:a0:33:7e,Lat: 13.681450946005262, Lng: 100.61054375641415, Accuracy: 6.7972965m
64:20:e3:a4:82:5e,Lat: 13.681450946005262, Lng: 100.61054375641415, Accuracy: 6.7972965m
64:20:e3:a7:5b:56,Lat: 13.681450946005262, Lng: 100.61054375641415, Accuracy: 6.7972965m
74:e9:bf:6f:65:03,Lat: 13.681450946005262, Lng: 100.61054375641415, Accuracy: 6.7972965m
74:e9:bf:6f:ec:dc,Lat: 13.681450946005262, Lng: 100.61054375641415, Accuracy: 6.7972965m
cc:29:bd:d1:1e:2f,Lat: 13.681450946005262, Lng: 100.61054375641415, Accuracy: 6.7972965m
32:50:fd:9b:3c:52,Lat: 13.681450946005262, Lng: 100.61054375641415, Accuracy: 6.7972965m
64:20:e0:6f:47:e5,Lat: 13.681450946005262, Lng: 100.61054375641415, Accuracy: 6.7972965m
c0:bc:9a:b1:c0:0f,Lat: 13.681700485597538, Lng: 100.61034023153114, Accuracy: 6.235547m
66:20:e3:15:71:26,Lat: 13.681450946005262, Lng: 100.61054375641415, Accuracy: 6.7972965m
64:20:e3:95:71:26,Lat: 13.681450946005262, Lng: 100.61054375641415, Accuracy: 6.7972965m
74:da:88:eb:7d:96,Lat: 13.681450946005262, Lng: 100.61054375641415, Accuracy: 6.7972965m
58:d3:12:b0:71:84,Lat: 13.681455715200117, Lng: 100.61053743444579, Accuracy: 9.071986m
60:83:e7:4b:34:ba,Lat: 13.681455715200117, Lng: 100.61053743444579, Accuracy: 9.071986m
08:40:f3:fd:c2:a1,Lat: 13.681455715200117, Lng: 100.61053743444579, Accuracy: 9.071986m
